"REFTAB_ID","TABLE_NAME","TITLE"
79175,"ADDRESS_ACCESS_TYPE",""
55484,"ADDRESS_BLG_UNIT_TYPE",""
48909,"ADDRESS_CLASS",""
31405,"ADDRESS_DISTANCE_RELATED_FLAG","Distance related flag"
56535,"ADDRESS_FEATURE_QUALITY",""
31353,"ADDRESS_FLOOR_TYPE","Address Floor Type"
55453,"ADDRESS_GEOCODE_FEATURE",""
79183,"ADDRESS_HOTEL_STYLE_FLAG",""
31593,"ADDRESS_IS_PRIMARY","Address is primary"
55492,"ADDRESS_LOCATION_DESCRIPTOR",""
31406,"ADDRESS_OUTSIDE_PROPERTY","Outside property"
31404,"ADDRESS_SOURCE","Address Source"
31360,"ALTERNATE_LOCALITY","Alternate Locality Names"
55065,"AM_DSE_REGION",""
31950,"AM_VICGOV_REGION","Victorian Government Departmental Regions"
31437,"CL_DUAL_STATUS","Crown Land Tenure licensed by Crown Land Managment"
31433,"CL_TENURE","Crown Land Tenure licensed by Crown Land Managment"
56015,"CL_TENURE_ACT",""
31438,"CL_TENURE_TYPE","Crown Land Tenure licensed by Crown Land Managment"
31634,"EL_EMBANKMENT_FUNCTION","Relief - Embankment Function"
58132,"FEATURE_CATALOGUE",""
77293,"FEATURE_CATALOGUE_MASTER",""
59464,"FEATURE_SUBTYPE_TABLE",""
59473,"FEATURE_TYPE_LAT",""
59492,"FEATURE_TYPE_TOPO",""
71077,"FEATURE_VICMAP2VICNAMES",""
31590,"FR_FEATURE_PRESENT","Framework -  Feature Pesent"
31363,"FR_SHORELINE_DATUM","Framework -  Shore Datum"
31362,"FR_STATE","Framework -  State"
56152,"FT_AUTHORITATIVE_ORGANISATION",""
68383,"FT_FEATURE_PARENT",""
58140,"FT_FEATURE_TYPE",""
56511,"FT_PLACE_HIERARCHY",""
56519,"FT_SCALE_USE",""
56160,"FT_VICNAMES_STATUS",""
31424,"GNR_FEATURE","Geographic Names Register - Feature"
31638,"GNR_NAME_STATUS","Geographic Names Register - Name Status"
31366,"HY_BEACONED","Hydrography - Beacon Presence"
31367,"HY_BEACON_TYPE","Hydrography - Beacon Type"
31368,"HY_BUOYED","Hydrography - Buoy Presence"
31370,"HY_CONSTRUCTION_TYPE","Hydrography - Construction Type"
31378,"HY_CONSTRUCTION_TYPE_LINE_AREA","Hydrography - Water Construction Type (line and area)"
31589,"HY_CONSTRUCTION_TYPE_POINT","Hydrography - Construction Type (point)"
31379,"HY_GROUND_RELATIONSHIP","Hydrography - Ground Relationship"
31371,"HY_HIERARCHY","Hydrography - Hierarchy"
31373,"HY_LIGHTED","Hydrography - Lighting Presence"
31381,"HY_MATERIAL_CONVEYED","Hydrography - Materials Conveyed"
31372,"HY_ORIGIN","Hydrography - Origin"
31377,"HY_PIPELINE_FUNCTION","Hydrography - Pipeline Function"
31380,"HY_PLATFORM_TYPE","Hydrography - Platform Type"
31364,"HY_REEF_TYPE","Hydrography - Reef Type"
31361,"HY_STRUCTURE_TYPE_LINE","Hydrography - Structure Type (line)"
31382,"HY_SUBSTANCE_EXTRACTED","Hydrography - Substance Extracted"
31365,"HY_SURFACE_RELATIONSHIP","Hydrography - Surface Relationship"
31374,"HY_USAGE","Hydrography - Usage"
31355,"HY_WATERBODY_STATE","Hydrography - Waterbody State"
31633,"HY_WATER_USE_FUNCTION","Hydrography - Water Use Function"
31408,"IN_ALL_STRUCTURE_TYPE","Feature Structure Type"
31409,"IN_ALL_SUBSTANCE_EXTRACTED","Feature All Substance Extracted"
31410,"IN_ALL_UTILITY_FUNCTION","Feature Utility Function"
31411,"IN_BUILDING_USE","Feature building use"
31412,"IN_CONSTRUCTION_TYPE","Feature Construction Type"
31413,"IN_DUMP_UTILITY_FUNCTION","Feature Dump Utility Function"
31637,"IN_MATERIAL_CONTAINED","Feature Material Contained"
31414,"IN_MINE_STRUCTURE_TYPE","Feature Mine Structure Type"
31416,"IN_MINE_SUBSTANCE_EXTRACTED","Feature mine substance extracted"
31417,"IN_PARK_FUNCTION","Feature park function"
31418,"IN_SPORTS_TYPE","Feature sports type"
31415,"IN_UTIL_STRUCTURE_TYPE","Feature utility structure type"
31351,"LGA","Local Government Area"
31369,"LGA_CLASS","Local Government Area Class"
31352,"LOCALITY","Locality"
31347,"PARISH","Parish"
31376,"PARISH_TOWN","PARISH and TOWNSHIP with alternate names"
53752,"PL_PUBLIC_LAND_GROUP",""
48374,"PL_SCALE_USE","Place - Scale Use"
48380,"PL_SURFACE_TYPE","Place - Surface Type"
31439,"PN_PLANNING_SCHEME","Planning Scheme Zones and Overlays"
31797,"PN_ZONE_STATUS","Planning Scheme Zone Status"
31356,"PR_CROWN_STATUS","Property - Crown Status"
31396,"PR_DESC_TYPE","Property - Description Type"
31400,"PR_FOOTPRINT_TYPE","Property - Footprint type"
31401,"PR_GRAPHIC_TYPE","Property - Graphic Type"
76896,"PR_INTERSECTION",""
31407,"PR_MULTI_ASSESSMENT","Multi assessment"
31357,"PR_PART","Property - Part"
31358,"PR_PLAN_NUMBER","Property - Plan Number"
31592,"PR_PROPERTY_TYPE","Property - Plan Number"
31399,"PR_SPI","Property - Standard Parcel Identifier (SPI) reliability"
31402,"PR_STATUS","Property - Property Status - (A)approved or (P)roposed."
31398,"PR_TRANSFERRABLE","Property - Property Transferrable"
31632,"PR_UNCONNECTED_CENTROID_TYPE","Vicmap Property Unconnected Centroid Type"
31397,"PR_Z_LEVEL","Property - Z Level"
31359,"REFERENCE_TABLE","Vicmap Reference Tables"
31636,"REFERENCE_TABLE_RELATIONSHIP","Vicmap Reference Tables Relationships"
31350,"ROAD_SUFFIX","Road Suffix"
31349,"ROAD_TYPE","Road Type"
47479,"RS_FEATURE_RELIABILITY",""
47485,"RS_ORGANISATION",""
47491,"RS_SOURCE_TYPE",""
31348,"TOWNSHIP","Township"
78703,"TP_DATA_SOURCE",""
78713,"TP_FEATURE_QUALITY",""
31375,"TRANSFORM66_94","Set of coordinates to support transformation from AGD66 to GDA94"
56168,"TR_AIRPORT_HIERARCHY",""
31635,"TR_BRIDGE_CONSTRUCTION_TYPE","Transport - Bridge Construction Type"
31390,"TR_BRIDGE_PHYSICAL_CONDITION","Transport - Bridge Physical Condition"
63014,"TR_DIVIDED_ROAD",""
31383,"TR_FERRY_TYPE","Transport - Ferry Type"
31384,"TR_RAIL_GAUGE","Transport - Rail Gauge"
31385,"TR_RAIL_PHYSICAL_CONDITION","Transport - Rail Physical Condition"
31386,"TR_RAIL_ROAD_RELATIONSHIP","Transport - Rail Road Relationship"
31387,"TR_RAIL_STATION_STRUCTURE_TYPE","Transport - Rail Station Structure Type"
31354,"TR_RAIL_STRUCTURE_TYPE","Transport - Rail Structure Type"
93396,"TR_RAIL_TOURIST_TYPE",""
31388,"TR_ROAD_CLASS","Transport - Road Class"
31389,"TR_ROAD_DIRECTION","Transport - Road Direction"
31391,"TR_ROAD_RESTRICTION","Transport - Road Restriction"
31392,"TR_ROAD_SEAL","Transport - Road Seal"
31591,"TR_ROAD_STRUCTURE_TYPE","Transport - Road Structure Type"
92313,"VG_PLANTATION_ESTAB_METHOD",""
78790,"VG_PLANTATION_SPECIES",""
92319,"VG_PLANTATION_THINNING",""
78797,"VG_PLANTATION_TYPE",""
47497,"VG_TREE_DENSITY",""
55080,"VL_AIRPORT_HIERARCHY",""
53762,"VL_BORDER_CLASS",""
53789,"VL_LOCALITY_HIERARCHY",""
53767,"VL_SCALE_USE",""
53775,"VL_STATE",""
